aaa,9996442,8651,171,248
aab,9679657,9943,103,203
aac,9980874,9563,284,470
aad,9821372,9642,85,195
aae,9915485,10469,272,438
aaf,9982261,8113,36,140
aag,9782375,9154,185,296
aba,9975548,9849,33,79
abb,9539791,8100,96,155
abc,9987390,7233,61,121
abd,9996799,9132,53,116
abe,9978017,9249,218,309
abf,9320115,9119,44,134
abg,9786711,7873,232,490
aca,9992517,9519,298,480
acb,9932444,10313,146,278
acc,9717310,8811,9,29
acd,9992433,9778,140,248
ace,9963743,8771,132,205
acf,9881895,8260,125,189
acg,9966453,9859,80,140
ada,9781919,8576,125,208
adb,9801411,9213,139,210
adc,9893196,10220,103,228
add,9830264,10558,154,353
ade,9877847,9006,5,7
adf,9704011,7619,364,589
adg,9884201,8158,29,151
aea,9951880,8576,246,376
aeb,9966542,8738,34,108
aec,9857068,10362,130,197
aed,9963202,9838,71,102
aee,9802049,7431,78,231
aef,9998565,8636,37,74
aeg,9867527,9614,37,93
afa,9912137,9686,367,613
afb,9584817,11061,27,83
afc,9812223,7122,115,283
afd,9562908,10937,144,338
afe,9883573,8260,82,139
aff,9345926,8485,7,18
afg,9838495,9238,112,174
aga,9975390,9910,81,207
agb,9687059,9411,194,384
agc,9836613,9111,175,294
agd,9973939,9301,159,403
age,9956788,8490,63,109
agf,9703740,8581,125,269
agg,9745518,9999,173,291
baa,9809058,9088,189,350
bab,9939147,9158,34,103
bac,9905671,7327,24,60
bad,9778312,9952,45,225
bae,9917840,9616,131,313
baf,9875605,8377,5,8
bag,9973271,9592,20,60
bba,9951120,7881,44,76
bbb,9933310,8774,62,141
bbc,9853234,9751,170,301
bbd,9960491,9593,7,29
bbe,9908061,9090,13,77
bbf,9846950,8249,39,77
bbg,9942308,8488,85,242
bca,9790272,9312,155,284
bcb,9983958,9119,130,232
bcc,9858241,8367,7,13
bcd,9889037,7809,104,244
bce,9567296,9551,6,20
bcf,9449589,9872,76,255
bcg,9848829,7845,321,536
bda,9999138,9380,25,70
bdb,9974717,8317,147,378
bdc,9756662,8697,162,389
bdd,9956829,8622,67,132
bde,9758633,10435,9,34
bdf,9960792,9480,44,89
bdg,9899755,8592,89,148
bea,9915929,8835,101,170
beb,9960981,8905,216,322
bec,9962435,8502,37,63
bed,9737440,7122,74,169
bee,9986066,8390,13,25
bef,9984707,8634,115,197
beg,9905253,7342,85,213
bfa,9990917,8595,13,29
bfb,9691629,8900,68,195
bfc,9894800,10113,84,185
bfd,9718232,8116,393,551
bfe,9578907,8514,18,47
bff,9346978,7675,105,190
bfg,9870222,7965,156,272
bga,9965481,9632,5,5
bgb,9665665,9507,71,248
bgc,9910514,8573,21,51
bgd,9859165,9039,5,13
bge,9962065,9061,191,338
bgf,9758385,10645,54,146
bgg,9839253,10231,145,338
caa,9982593,8441,134,359
cab,9882578,7528,168,279
cac,9833106,7506,176,338
cad,9836205,9782,14,48
cae,9912714,7689,21,37
caf,9814869,9353,256,371
cag,9899378,9375,156,266
cba,9981700,8836,116,206
cbb,9932356,9139,18,56
cbc,9569799,8345,33,128
cbd,9980580,10926,36,82
cbe,9960014,9296,99,192
cbf,9707916,8325,202,318
cbg,9802426,9942,161,343
cca,9765681,7996,229,388
ccb,9895929,9465,55,98
ccc,9632222,9009,134,266
ccd,9997745,9744,105,178
cce,9894574,7499,12,41
ccf,9744419,9072,50,258
ccg,9569566,7510,5,9
cda,9949687,10484,10,34
cdb,9752550,8363,266,476
cdc,9992849,8274,20,78
cdd,9523839,8932,160,277
cde,9744798,9254,63,232
cdf,9839493,9602,26,56
cdg,9880328,9218,147,204
cea,9711539,8616,230,419
ceb,9850423,7593,303,428
cec,9973474,8237,76,222
ced,9828576,9679,80,153
cee,9887822,9566,92,162
cef,9996200,7886,139,270
ceg,9982531,9487,92,129
cfa,9907212,8433,17,53
cfb,9941207,9241,41,91
cfc,9845939,9499,69,159
cfd,9996035,8997,51,93
cfe,9991821,9162,112,309
cff,9948788,9089,7,19
cfg,9891467,7420,6,16
cga,9670910,9416,32,53
cgb,9520431,9561,223,439
cgc,9960933,10280,139,283
cgd,9884160,8930,17,64
cge,9933782,8215,98,209
cgf,9950211,10728,144,286
cgg,9899594,9582,25,85
daa,9800842,8498,285,394
dab,9790262,9620,141,302
dac,9600927,8674,7,16
dad,9859695,8646,55,143
dae,9996278,8199,7,25
daf,9968921,9473,6,15
dag,9999263,9238,32,173
dba,9954450,9829,32,113
dbb,9773579,9130,17,41
dbc,9930898,9070,55,169
dbd,9870735,7738,194,273
dbe,9858167,9384,81,160
dbf,9912662,11699,52,162
dbg,9963362,7166,234,501
dca,9957659,9429,59,194
dcb,9739991,10154,124,212
dcc,9875547,8121,237,407
dcd,9786107,8740,334,516
dce,9975087,7843,142,238
dcf,9736861,9776,94,167
dcg,9868808,10317,122,227
dda,9533362,11382,180,345
ddb,9830082,8790,160,261
ddc,9941681,9043,5,10
ddd,9608627,8302,249,483
dde,9690026,7875,163,279
ddf,9843473,8874,7,17
ddg,9873909,9269,15,106
dea,9999497,11393,448,664
deb,9835598,9409,579,1290
dec,9750306,9352,169,278
ded,9968216,9754,20,69
dee,9677583,10212,49,80
def,9786561,6699,170,237
deg,9836163,7726,219,317
dfa,9990041,9023,90,180
dfb,9965948,9492,80,226
dfc,9891759,8745,16,51
dfd,9984618,9022,143,240
dfe,9915178,8284,40,76
dff,9874130,10007,126,209
dfg,9770062,10394,307,524
dga,9676525,10463,31,105
dgb,9800646,7584,109,283
dgc,9999724,6895,164,276
dgd,9823322,7270,142,215
dge,9723207,9705,197,332
dgf,9727121,7683,37,85
dgg,9481113,9198,117,192
eaa,9986129,9244,17,35
eab,9821067,9239,22,34
eac,9660729,9123,168,328
ead,9921524,8870,84,146
eae,9954247,9256,9,26
eaf,9760692,8763,24,56
eag,9926330,8965,51,78
eba,9954097,9353,5,9
ebb,9908064,7212,9,32
ebc,9634754,9335,67,129
ebd,9896425,7374,112,166
ebe,9929334,9012,69,121
ebf,9801322,11872,78,216
ebg,9852545,9379,112,319
eca,9970059,8291,5,18
ecb,9900134,9412,5,6
ecc,9621850,9795,219,361
ecd,9750438,9265,164,279
ece,9985069,8506,5,9
ecf,9887710,7982,45,97
ecg,9997177,10175,129,225
eda,9982773,8857,49,81
edb,9484675,9829,254,469
edc,9716988,7645,84,178
edd,9820913,9375,65,118
ede,9840245,9565,154,220
edf,9921069,9657,147,228
edg,9714637,11817,83,167
eea,9989089,6748,13,44
eeb,9813165,10685,8,14
eec,9937043,8384,122,206
eed,9980064,8528,128,221
eee,9985958,9399,18,41
eef,9783470,9410,276,488
eeg,9967143,9419,60,136
efa,9883945,7704,90,177
efb,9740859,8965,8,24
efc,9776846,8819,59,148
efd,9701129,7924,19,48
efe,9701229,8112,5,8
eff,9625184,7675,153,308
efg,9960307,9445,88,265
ega,9894811,9498,96,253
egb,9989895,7158,6,15
egc,9751831,8936,110,252
egd,9795238,7250,76,146
ege,9383553,8415,90,182
egf,9758182,10062,127,186
egg,9996458,7529,7,25
faa,9772266,8878,234,354
fab,9874494,8604,10,25
fac,9923031,8681,227,292
fad,9929842,8153,217,441
fae,9705150,8278,248,413
faf,9988482,8399,51,121
fag,9944204,7781,8,20
fba,9933399,8387,32,70
fbb,9825770,10006,121,163
fbc,9823437,9438,61,146
fbd,9820542,10515,35,89
fbe,9747335,10146,96,155
fbf,9905856,9625,207,351
fbg,9997002,9243,38,76
fca,9736920,7818,181,339
fcb,9850783,8950,90,228
fcc,9428398,9649,269,431
fcd,9986510,8204,85,154
fce,9797704,9950,6,20
fcf,9937988,7845,160,372
fcg,9937930,8992,52,167
fda,9857101,7742,11,36
fdb,9901356,9033,83,146
fdc,9973438,7869,21,51
fdd,9901666,9504,20,34
fde,9884056,9630,94,153
fdf,9916586,10621,39,104
fdg,9840621,8047,72,137
fea,9837721,9459,428,791
feb,9939241,7197,81,211
fec,9990939,10334,10,34
fed,9924457,8227,33,48
fee,9513788,9630,124,206
fef,9978484,7600,221,321
feg,9999747,9319,104,164
ffa,9174633,8798,189,334
ffb,9973073,9242,129,251
ffc,9972570,9405,197,304
ffd,9876824,8891,378,660
ffe,9611868,8263,5,12
fff,9998061,9240,108,185
ffg,9869221,8407,311,461
fga,9863011,7938,90,252
fgb,9898919,9666,12,27
fgc,9737928,9120,114,157
fgd,9998192,7771,141,267
fge,9752629,8961,37,118
fgf,9939986,9107,106,189
fgg,9929444,10335,51,134
gaa,9843313,10769,38,78
gab,9749479,9949,5,7
gac,9935922,9040,331,625
gad,9761819,8618,38,99
gae,9794080,8986,5,9
gaf,9983137,9250,119,281
gag,9581582,7614,198,266
gba,9985251,7490,67,107
gbb,9972305,8340,121,300
gbc,9657220,8714,56,147
gbd,9989747,7696,50,86
gbe,9832013,8328,29,78
gbf,9890033,9349,130,284
gbg,9889542,8986,210,298
gca,9887300,10351,36,127
gcb,9985419,9568,6,15
gcc,9954712,9063,7,24
gcd,9713529,9137,25,88
gce,9785285,8616,31,53
gcf,9764339,9119,138,295
gcg,9982993,8350,138,300
gda,9985370,6591,135,272
gdb,9505787,9962,16,40
gdc,9774113,7954,14,39
gdd,9944402,11589,236,394
gde,9762246,8624,140,241
gdf,9725957,9474,79,127
gdg,9686698,8993,230,427
gea,9804478,10019,103,184
geb,9955995,8942,78,167
gec,9990049,8060,13,41
ged,9921819,9564,48,114
gee,9521808,9444,144,259
gef,9891940,9383,165,336
geg,9945096,8057,54,122
gfa,9833514,9033,189,265
gfb,9717965,8823,13,23
gfc,9860226,8549,20,41
gfd,9664241,8846,37,81
gfe,9890910,9205,34,102
gff,9969050,7919,104,198
gfg,9989016,9645,135,277
gga,9938349,7695,54,132
ggb,9979468,8426,70,139
ggc,9979141,9926,64,182
ggd,9681155,8485,93,274
gge,9941758,8820,76,139
ggf,9746732,8490,8,26
ggg,9836075,8798,185,311
